下个星期^我跟我朋唷打算去法国玩儿^ 下个星期^我跟我朋友打算去法国玩儿^
我在外国很容易寄给朋友短讯啊^电话啊^聊天^我觉得在外国过一个人的生活没有寂莫^是因为我想跟朋友联络^就马上会联络^ 我在外国很容易寄给朋友短讯啊^电话啊^聊天^我觉得在外国过一个人的生活没有寂寞^是因为我想跟朋友联络^就马上会联络^
还好那时没有那么多的功课^要不然我也不知到我要怎么写我的功课^找一些资料^或缴交我的功课^ 还好那时没有那么多的功课^要不然我也不知道我要怎么写我的功课^找一些资料^或缴交我的功课^
再说我也认为父母的一言以行是孩子学习的榜样^如果孩子学坏的话父母也有责任^ 再说我也认为父母的一言一行是孩子学习的榜样^如果孩子学坏的话父母也有责任^
大学就读数位媒体设计系的我^网路在我生活上暂了很重要的一部分^ 大学就读数位媒体设计系的我^网路在我生活上占了很重要的一部分^
所以说我认为网路对身体和心理发展有不良的影响这个观点^不应该都放在各各孩子的身上^ 所以说我认为网路对身体和心理发展有不良的影响这个观点^不应该都放在各个孩子的身上^
宰我的生活我常常上网吸收新的知识^比如说看文章^看新闻^下载多媒体资料和学习科目等^ 在我的生活我常常上网吸收新的知识^比如说看文章^看新闻^下载多媒体资料和学习科目等^
在越南现在的青少年玩电脑越来越多^所以家长官孩子也很严^但是这样子的话也会有相反^ 在越南现在的青少年玩电脑越来越多^所以家长管孩子也很严^但是这样子的话也会有相反^
我现在来台湾读书^也是用电脑写报告^上网查资料^跟老师联络^听^^^上学校的网页^什么地^ 我现在来台湾读书^也是用电脑写报告^上网查资料^跟老师联络^听^^^上学校的网页^什么的^
但是一直看著电脑也对身体不好^特别是眼睛^应该要有休息的时间^或者是让身体运动也下^ 但是一直看著电脑也对身体不好^特别是眼睛^应该要有休息的时间^或者是让身体运动一下^
浪费电^害眼睛近视^不跟别人交流在线上交流有实际马^ 浪费电^害眼睛近视^不跟别人交流在线上交流有实际吗^
我可以取例子像^有的家庭很穷但是孩子对网路上瘾而偷家里的钱去玩^有的青少年为了上网玩电动游戏而把自己的自行车卖掉^ 我可以举例子像^有的家庭很穷但是孩子对网路上瘾而偷家里的钱去玩^有的青少年为了上网玩电动游戏而把自己的自行车卖掉^
但是我有电脑以后我才发现^我上网的时数比看书的时数长的多^ 但是我有电脑以后我才发现^我上网的时数比看书的时数长得多^
能够及时拥有资讯对我的生活来说非常的重要^ 能够及时拥有资讯对我的生活来说非常地重要^
许多家长一昧的认为网路是传递和散播不良资讯的途径^但是他们这样的行为动作却无形中抹杀了接触新资讯的空间与时间^ 许多家长一昧地认为网路是传递和散播不良资讯的途径^但是他们这样的行为动作却无形中抹杀了接触新资讯的空间与时间^
这反倒是让青少年无法很好地与世界接轨^让他们不经意的被社会淘汰^ 这反倒是让青少年无法很好地与世界接轨^让他们不经意地被社会淘汰^
所以无论是上网打电动或者上网聊天^上网的时数一定会比念书来的更多^ 所以无论是上网打电动或者上网聊天^上网的时数一定会比念书来得更多^
情爱的李厂长^ 亲爱的李厂长^
我家比你的工厂很近^附近噪音跟臭味对大家有很大的影响^你可不可以处理那件事情^ 我家离你的工厂很近^附近噪音跟臭味对大家有很大的影响^你可不可以处理那件事情^
如果那时间工厂的噪音和废水还没处理^我们只有要救您工厂停工^ 如果那时间工厂的噪音和废水还没处理^我们只有要求您工厂停工^
所上面提到的问题对邻居健康权利很重要^如果再次月情况不变^邻居会会报情况到市政府环保所^ 所上面提到的问题对邻居健康权利很重要^如果在次月情况不变^邻居会会报情况到市政府环保所^
我失王天华^一位住在您的工厂附近的邻居^ 我是王天华^一位住在您的工厂附近的邻居^
为了解决嘈音的问题^我建议你工厂墙壁应该安装隔音玻璃^或者你尽量改善工厂里面机械质量^ 为了解决噪音的问题^我建议你工厂墙壁应该安装隔音玻璃^或者你尽量改善工厂里面机械质量^
这附近的朋友们我都认识^我也了解他们的生活而习惯^ 这附近的朋友们我都认识^我也了解他们的生活和习惯^
拜托您请找一个帮组您的一个人来把噪音跟臭味不要再发现^ 拜托您请找一个帮助您的一个人来把噪音跟臭味不要再发现^
我希望你们受到我代表这里的邻居写的这封信马上检查^改善噪音和臭味^ 我希望你们收到我代表这里的邻居写的这封信马上检查^改善噪音和臭味^
这个件况对大家很讨厌因为每天大家都应该早起床因为他们应该去上班^上课^等等^ 这个情况对大家很讨厌因为每天大家都应该早起床因为他们应该去上班^上课^等等^
这样子不是波坏我们的^美丽环境^呢^我们怎么会有^建康^的地方^而且我们这里也很多^小孩^子^对他们真的不好吧^^ 这样子不是破坏我们的^美丽环境^呢^我们怎么会有^健康^的地方^而且我们这里也很多^小孩^子^对他们真的不好吧^^
如果^您没有办法好好的处理这件事的话^邻居们说^^哪我们最后会提出^告诉^^^^让^城府^来处理吧^ 如果^您没有办法好好的处理这件事的话^邻居们说^^那我们最后会提出^告诉^^^^让^政府^来处理吧^
但我们想信您会处理得很好^因为您跟我们一样爱护我们的环境^不是吗^ 但我们相信您会处理得很好^因为您跟我们一样爱护我们的环境^不是吗^
我们希望李厂长尽快帮我们解决这件事情^想个法子把噪音降低^臭味不能排放到附近的水沟里^并提高自我环保的概念^爱护地球^如此以来大家就能拥有安定的生活以及零污染的生活品质^ 我们希望李厂长尽快帮我们解决这件事情^想个法子把噪音降低^臭味不能排放到附近的水沟里^并提高自我环保的概念^爱护地球^如此一来大家就能拥有安定的生活以及零污染的生活品质^
新的机器有可能声影少一点^还有臭味也是^ 新的机器有可能声音少一点^还有臭味也是^
这两问题真的严重^我么受不了^ 这两问题真的严重^我们受不了^
居民要求工厂加强防噪音与防臭味设备^因该要设备防噪音墙与化学药品过滤器来处理这一件事^ 居民要求工厂加强防噪音与防臭味设备^应该要设备防噪音墙与化学药品过滤器来处理这一件事^
李厂长因该会理解我们的状况^我们相信你会尽快解决这件事^ 李厂长应该会理解我们的状况^我们相信你会尽快解决这件事^
如果您不接受这些要求^我拒绝将跟市长在说^ 如果您不接受这些要求^我拒绝将跟市长再说^
我觉得老师的生活^工作都很幸苦^ 我觉得老师的生活^工作都很辛苦^
没有人愿意自己所有的行为都被蓝控设备录影^ 没有人愿意自己所有的行为都被监控设备录影^
而处在被蓝控设备录影的情况之下的你^是真正的你吗^我认为不是真正的你^ 而处在被监控设备录影的情况之下的你^是真正的你吗^我认为不是真正的你^
而且如果孩子知道除了他的父母意外有其他的父母可以看他上课的时候怎么样^说不定他很紧张^无法专心学习^ 而且如果孩子知道除了他的父母以外有其他的父母可以看他上课的时候怎么样^说不定他很紧张^无法专心学习^
全世界个国家的人看电视的时候碰到小朋友常常受坏人的影响^吸毒品^吸烟^喝酒^被绑架^被打等等^ 全世界各国家的人看电视的时候碰到小朋友常常受坏人的影响^吸毒品^吸烟^喝酒^被绑架^被打等等^
教室里装摄影机是个很有道理的注意^不过父母千万不要忘记摄影机为了保护孩子^父母的安心做的^并不是为了控制孩子或者老师^ 教室里装摄影机是个很有道理的主意^不过父母千万不要忘记摄影机为了保护孩子^父母的安心做的^并不是为了控制孩子或者老师^
或许^有人会认为这样的作法会让孩子没有了空间^ 或许^有人会认为这样的做法会让孩子没有了空间^
教室里面不这么对装著相机^因为这样老是跟学校不会说出来自己的想法跟看^老师也会不喜欢用自己的教法^而且这个贞的不是好办法^ 教室里面不怎么对装著相机^因为这样老师跟学校不会说出来自己的想法跟看^老师也会不喜欢用自己的教法^而且这个真的不是好办法^
如果父母不让自己的孩子独立^孩子也会一直依赖者父母过生活^ 如果父母不让自己的孩子独立^孩子也会一直依赖著父母过生活^
因为我是觉得如果我孩子的学校有这样的摄影机^我就可以看到我孩子他在学校做了甚么是^他到底去不去上课还有甚至还可以看到老师的态度和他是真么教书的^ 因为我是觉得如果我孩子的学校有这样的摄影机^我就可以看到我孩子他在学校做了甚么事^他到底去不去上课还有甚至还可以看到老师的态度和他是怎么教书的^
如果他的学校有了摄影机^而且你们家或是你们公司已经有网路^随时我们都可以检查你么的孩子^ 如果他的学校有了摄影机^而且你们家或是你们公司已经有网路^随时我们都可以检查你们的孩子^
其实连我们每天都没有上网看看^但其子他自己就怕父母检查他们^他们没办法知道甚么时候父母会上网看他们^他们一定不敢跑到别的地方去了^ 其实连我们每天都没有上网看看^但其实他自己就怕父母检查他们^他们没办法知道甚么时候父母会上网看他们^他们一定不敢跑到别的地方去了^
可依一边做他们的事^一边照顾他们小孩^ 可以一边做他们的事^一边照顾他们小孩^
如果在教室小孩不舒服^家张可以马上知道^ 如果在教室小孩不舒服^家长可以马上知道^
入果有不行得事情^可以在影机查看^ 如果有不行的事情^可以在影机查看^
根据新闻^每年至小有一位学生带枪来上课伤害同学^ 根据新闻^每年至少有一位学生带枪来上课伤害同学^
因为怕爸妈在看他^所以天天假装懂得样子^这样对学生哪有好处呢^ 因为怕爸妈在看他^所以天天假装懂的样子^这样对学生哪有好处呢^
家长想知道小孩的学业情况的话^不是用摄影机看他们^而是去学校自接跟老师谈谈比较好^ 家长想知道小孩的学业情况的话^不是用摄影机看他们^而是去学校直接跟老师谈谈比较好^
好处的影响是孩子知道父母在家看著他们在学习^让后孩子要让父母高兴因为他可以回答老师的问题^ 好处的影响是孩子知道父母在家看著他们在学习^然后孩子要让父母高兴因为他可以回答老师的问题^
因为你们知道有很多父母在看到你的孩子很聪明^希望我的看法可以让他家大开眼界^ 因为你们知道有很多父母在看到你的孩子很聪明^希望我的看法可以让大家大开眼界^
心理学者可以分析有没有部正常的小孩^用这部影片来研究小孩的行为^ 心理学者可以分析有没有不正常的小孩^用这部影片来研究小孩的行为^
我觉得如果父母不要看得话^就不必看^ 我觉得如果父母不要看的话^就不必看^
这样的话^当然^父母小孩回家的时候吗了他^ 这样的话^当然^父母小孩回家的时候骂了他^
今天的孩子已经收到很大的教育压力^我怕这种设备会让孩子受不了压力了^ 今天的孩子已经受到很大的教育压力^我怕这种设备会让孩子受不了压力了^
虽然有一群父母会喜欢看孩子的情况^其实缺点必优点多^ 虽然有一群父母会喜欢看孩子的情况^其实缺点比优点多^
即然学生在学校老师的照顾下上课^他们的父母不需要一直看^ 既然学生在学校老师的照顾下上课^他们的父母不需要一直看^
我觉得装了电影机是很好的作法^因为这机器有很多好处^ 我觉得装了电影机是很好的做法^因为这机器有很多好处^
如果老是在忙的时候^她可以一边打工^一边看学生^这样可以省时间^ 如果老师在忙的时候^她可以一边打工^一边看学生^这样可以省时间^
我看建设这种机器是很值得的事情^所有的学校已该建设^ 我看建设这种机器是很值得的事情^所有的学校应该建设^
想一下就知道这样不合理^^对阿^我根本没做坏事^那为甚么要加摄影机呢^这样不是说你不相信我吗^^ 想一下就知道这样不合理^^对啊^我根本没做坏事^那为甚么要加摄影机呢^这样不是说你不相信我吗^^
